date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2021-04-15,51.264999,52.154999,51.255001,52.049999,52.049999,7601600.0,7601600.0,1.57,1.531,103.64,"April 15, 21",0.01531
2021-04-16,52.575001,52.82,52.005001,52.610001,52.610001,9362400.0,9362400.0,0.07,0.067,104.95667,"April 16, 21",0.00067
2021-04-19,52.189999,52.380001,51.255001,51.82,51.82,8908000.0,8908000.0,-0.74,-0.709,103.63667,"April 19, 21",-0.00709
2021-04-20,51.290001,51.595001,50.084999,50.689999,50.689999,9427400.0,9427400.0,-1.2,-1.17,101.58,"April 20, 21",-0.0117
2021-04-21,50.419998,52.165001,50.365002,52.09,52.09,7360600.0,7360600.0,3.34,3.312,103.08,"April 21, 21",0.03312
2021-04-22,52.029999,52.345001,50.240002,50.68,50.68,11929200.0,11929200.0,-2.7,-2.595,102.17667,"April 22, 21",-0.02595
2021-04-23,50.884998,52.855,50.860001,52.299999,52.299999,7257000.0,7257000.0,2.83,2.781,104.01333,"April 23, 21",0.02781
2021-04-26,52.57,52.855,52.389999,52.634998,52.634998,6124400.0,6124400.0,0.13,0.124,105.25333,"April 26, 21",0.00124
2021-04-27,52.744999,52.82,52.139999,52.580002,52.580002,5314200.0,5314200.0,-0.33,-0.313,105.02667,"April 27, 21",-0.00313
2021-04-28,52.700001,53.145,52.369999,52.505001,52.505001,7077600.0,7077600.0,-0.39,-0.37,105.34667,"April 28, 21",-0.0037
2021-04-29,53.654999,53.779999,52.174999,53.485001,53.485001,8503400.0,8503400.0,-0.34,-0.317,106.29667,"April 29, 21",-0.00317
2021-04-30,52.619999,52.965,52.125,52.474998,52.474998,10135200.0,10135200.0,-0.29,-0.276,105.04,"April 30, 21",-0.00276
2021-05-03,53.25,53.424999,52.615002,52.814999,52.814999,6332400.0,6332400.0,-0.87,-0.817,105.90333,"May 03, 21",-0.00817
2021-05-04,52.005001,52.200001,50.345001,51.84,51.84,13769600.0,13769600.0,-0.33,-0.317,102.92333,"May 04, 21",-0.00317
2021-05-05,52.5,52.575001,51.575001,51.834999,51.834999,7332800.0,7332800.0,-1.33,-1.267,103.99,"May 05, 21",-0.01267
2021-05-06,51.91,53.150002,51.095001,53.084999,53.084999,8457200.0,8457200.0,2.35,2.264,104.88667,"May 06, 21",0.02264
2021-05-07,53.419998,54.535,53.150002,54.259998,54.259998,9123200.0,9123200.0,1.68,1.572,107.96333,"May 07, 21",0.01572
2021-05-10,54.43,54.5,52.595001,52.650002,52.650002,9577000.0,9577000.0,-3.56,-3.27,106.49667,"May 10, 21",-0.0327
2021-05-11,50.805,51.625,49.669998,51.27,51.27,13711000.0,13711000.0,0.93,0.915,101.71,"May 11, 21",0.00915
2021-05-12,50.115002,50.625,47.744999,48.005001,48.005001,14976400.0,14976400.0,-4.22,-4.21,97.58333,"May 12, 21",-0.0421
2021-05-13,48.540001,50.419998,48.540001,49.669998,49.669998,14824200.0,14824200.0,2.26,2.328,99.08667,"May 13, 21",0.02328
2021-05-14,50.755001,52.305,50.744999,51.965,51.965,9549200.0,9549200.0,2.42,2.384,103.34333,"May 14, 21",0.02384
2021-05-17,51.535,51.904999,50.775002,51.575001,51.575001,10020200.0,10020200.0,0.08,0.078,102.82,"May 17, 21",0.00078
2021-05-18,51.695,51.764999,50.185001,50.279999,50.279999,6724600.0,6724600.0,-2.83,-2.737,101.48667,"May 18, 21",-0.02737
2021-05-19,48.384998,49.895,47.814999,49.845001,49.845001,10097600.0,10097600.0,2.92,3.017,98.37,"May 19, 21",0.03017
2021-05-20,50.185001,51.93,50.139999,51.439999,51.439999,7333600.0,7333600.0,2.51,2.501,102.33667,"May 20, 21",0.02501
2021-05-21,52.055,52.529999,51.134998,51.314999,51.314999,7418000.0,7418000.0,-1.48,-1.422,103.32,"May 21, 21",-0.01422
2021-05-24,52.240002,53.310001,52.110001,52.884998,52.884998,5101200.0,5101200.0,1.29,1.235,105.53667,"May 24, 21",0.01235
2021-05-25,53.310001,53.465,52.299999,52.540001,52.540001,6072600.0,6072600.0,-1.54,-1.444,105.53667,"May 25, 21",-0.01444
2021-05-26,52.764999,53.044998,52.355,52.849998,52.849998,3656200.0,3656200.0,0.17,0.161,105.49667,"May 26, 21",0.00161
2021-05-27,53.264999,53.455002,52.869999,52.880001,52.880001,7473000.0,7473000.0,-0.77,-0.723,106.13667,"May 27, 21",-0.00723
2021-05-28,53.549999,53.66,53.110001,53.189999,53.189999,5644200.0,5644200.0,-0.72,-0.672,106.64,"May 28, 21",-0.00672
2021-06-01,54.165001,54.209999,52.880001,53.035,53.035,5707600.0,5707600.0,-2.26,-2.086,106.75,"June 01, 21",-0.02086
2021-06-02,53.305,53.639999,52.915001,53.310001,53.310001,4335800.0,4335800.0,0.01,0.009,106.57667,"June 02, 21",9e-05
2021-06-03,52.34,53.169998,51.755001,52.715,52.715,7609400.0,7609400.0,0.75,0.716,105.09333,"June 03, 21",0.00716
2021-06-04,53.445,54.264999,53.424999,54.105,54.105,6013200.0,6013200.0,1.32,1.235,107.86333,"June 04, 21",0.01235
2021-06-07,54.134998,54.215,53.610001,54.02,54.02,3919800.0,3919800.0,-0.23,-0.212,107.89667,"June 07, 21",-0.00212
2021-06-08,54.349998,54.375,53.275002,54.035,54.035,4733600.0,4733600.0,-0.63,-0.58,107.79,"June 08, 21",-0.0058
2021-06-09,54.380001,54.389999,53.68,53.779999,53.779999,4553200.0,4553200.0,-1.2,-1.103,107.90333,"June 09, 21",-0.01103
2021-06-10,54.294998,54.904999,53.744999,54.525002,54.525002,5438400.0,5438400.0,0.46,0.424,108.78333,"June 10, 21",0.00424
